event_id,Method,Quality (A-D for SKHASH; lower number better for FOCMEC),Strike,Dip,Rake,P Axis Azimuth,P Axis Plunge,T Axis Azimuth,T Axis Plunge,N Axis Azimuth,N Axis Plunge
1977 Balliang,SKHASH,B,340.2,9.4,56.3,279.61,36.98,110.36,52.53,13.54,5.2
1977 Balliang,SKHASH,D,68.4,64.9,-147.1,287.2,40.37,194.87,2.74,101.65,49.49
1977 Balliang,FOCMEC,0,0,10,90,270,35,90,55,180,0
1977 Balliang,FOCMEC,0,0,15,90,270,30,90,60,180,0
1977 Balliang,FOCMEC,0,0,20,90,270,25,90,65,180,0
1977 Balliang,FOCMEC,0,0,25,90,270,20,90,70,180,0
1977 Balliang,FOCMEC,0,5,10,90,275,35,95,55,185,0
1977 Balliang,FOCMEC,0,5,15,90,275,30,95,60,185,0
1977 Balliang,FOCMEC,0,5,20,90,275,25,95,65,185,0
1977 Balliang,FOCMEC,0,5,25,90,275,20,95,70,185,0
1977 Balliang,FOCMEC,0,5,30,90,275,15,95,75,185,0
1977 Balliang,FOCMEC,0,10,10,90,280,35,100,55,190,0
1977 Balliang,FOCMEC,0,10,15,90,280,30,100,60,190,0
1977 Balliang,FOCMEC,0,10,20,90,280,25,100,65,190,0
1977 Balliang,FOCMEC,0,10,25,90,280,20,100,70,190,0
1977 Balliang,FOCMEC,0,10,30,90,280,15,100,75,10,0
1977 Balliang,FOCMEC,0,15,10,90,285,35,105,55,195,0
1977 Balliang,FOCMEC,0,15,15,90,285,30,105,60,195,0
1977 Balliang,FOCMEC,0,15,20,90,285,25,105,65,195,0
1977 Balliang,FOCMEC,0,15,25,90,285,20,105,70,195,0
1977 Balliang,FOCMEC,0,15,30,90,285,15,105,75,195,0
1977 Balliang,FOCMEC,0,15,35,90,285,10,105,80,195,0
1977 Balliang,FOCMEC,0,20,10,90,290,35,110,55,200,0
1977 Balliang,FOCMEC,0,20,15,90,290,30,110,60,200,0
1977 Balliang,FOCMEC,0,20,20,90,290,25,110,65,200,0
1977 Balliang,FOCMEC,0,20,25,90,290,20,110,70,200,0
1977 Balliang,FOCMEC,0,20,30,90,290,15,110,75,200,0
1977 Balliang,FOCMEC,0,20,35,90,290,10,110,80,200,0
1977 Balliang,FOCMEC,0,25,10,90,295,35,115,55,205,0
1977 Balliang,FOCMEC,0,25,15,90,295,30,115,60,205,0
1977 Balliang,FOCMEC,0,25,20,90,295,25,115,65,205,0
1977 Balliang,FOCMEC,0,25,25,90,295,20,115,70,205,0
1977 Balliang,FOCMEC,0,25,30,90,295,15,115,75,205,0
1977 Balliang,FOCMEC,0,25,35,90,295,10,115,80,205,0
1977 Balliang,FOCMEC,0,30,10,90,300,35,120,55,210,0
1977 Balliang,FOCMEC,0,30,15,90,300,30,120,60,30,0
1977 Balliang,FOCMEC,0,30,20,90,300,25,120,65,30,0
